,count,mean,std,min,1%,25%,50%,75%,99%,max
amount_usd,7500.0,109.07079333333333,157.7465271245824,1.0,1.0,25.925,63.489999999999995,127.2875,858.0467000000008,2000.0
quantity_purchased,7500.0,5.855466666666667,4.139798123824763,1.0,1.0,3.0,5.0,8.0,22.0,24.0
session_duration_seconds,7500.0,280.18862666666666,135.95791648639417,5.0,10.0,186.7,287.0,376.325,571.8009999999999,726.8
days_since_last_purchase,7500.0,13.703097333333334,14.926759063664116,0.0,0.08989999999999995,3.1675,8.59,19.35,67.12030000000001,142.32
account_age_days,7500.0,1664.7996,1122.7792683684108,1.0,19.0,639.0,1633.5,2640.0,3615.0,3649.0
items_viewed_before_purchase,7500.0,8.612933333333334,5.3968691128948505,1.0,1.0,4.0,8.0,12.0,27.0,29.0
timestamp,7500.0,1715783865.2932,9162462.018281413,1700001808.0,1700345038.78,1707864974.25,1715682901.0,1723706506.0,1731199542.54,1731534222.0
device_screen_resolution,7500.0,3175686.4425333333,2682003.5432340982,1006733.0,1015588.82,1045387.25,2073158.0,3689207.75,8302524.03,8310940.0
time_since_last_login_s,7500.0,3589.362586666667,3565.242907979852,10.0,38.695,1051.225,2477.7,5004.15,15977.059000000001,40160.8
big_model_fraud_probability,7500.0,0.4227853397333333,0.3024723894005455,0.000897,0.01364187,0.1587055,0.3573415,0.6632645,0.999996,1.0
