fold,initialization,initial_train_rmse,initial_validation_rmse,final_train_mae,final_train_rmse,final_validation_mae,final_validation_rmse
1,random,0.38688092036050487,0.38505542057668585,0.07664099432763428,0.10424352680539649,0.0772964949499723,0.10648259066583954
1,guided,0.12102428222232929,0.12079435615446894,0.07652623464058575,0.10422554476103725,0.07721346867299758,0.10649579136991077
2,random,0.3772120383695319,0.3794207801185593,0.0767881621770164,0.10485736405002022,0.07667006907993784,0.10412597472863055
2,guided,0.12224527485781785,0.11977699551270574,0.07664280801650566,0.10483200078732428,0.07652016003173197,0.10412798625514301
3,random,0.35305854510097284,0.3540284897229941,0.07675106109546717,0.10494863617070926,0.07787205529245228,0.10393734153369336
3,guided,0.12346630120247046,0.12201741905912711,0.07661489285314776,0.10491939131776819,0.07766449181821772,0.10386522008676646
4,random,0.4123780988064043,0.4077371497885997,0.07652021483787323,0.10460624661137012,0.07703758627065335,0.10515584778796129
4,guided,0.12213032208640962,0.1253498431073681,0.07643100034099597,0.1045914222063906,0.07694722134171944,0.10513079799319357
5,random,0.32134711574464625,0.3265939690045095,0.07686928101258478,0.10472282734903937,0.07544039397104313,0.10470128897476501
5,guided,0.12281507801898298,0.12437137207532126,0.07676824193266082,0.10470707310554331,0.07537098313354146,0.1046844117223851
